density,miou,acc,m_dice,iou_background,f1_background,iou_glass,f1_glass,iou_cardboard,f1_cardboard,iou_paper,f1_paper,iou_plastic,f1_plastic,iou_metal,f1_metal,iou_trash,f1_trash
sparse,0.31551858028527974,0.8497029622395816,0.4233168730671169,0.8613543497245354,0.9255135642380498,0.015480933409218498,0.0304898549468022,0.4144964848004342,0.586069303047205,0.28314121037462614,0.4413250978625384,0.3249125972707426,0.49046646196016885,0.28723404255317203,0.446280991338318,0.022010443864229193,0.04307283529686899
medium,0.29972194328544116,0.7668029785156234,0.40775211510962206,0.7960765103802174,0.8864616906196833,0.006242725637498347,0.012407991092170336,0.4696450596135183,0.6391271908869168,0.22713479481579574,0.37018719630026337,0.2807004330634426,0.43835455280233665,0.2853337023838257,0.4439838488433484,0.03292037710378992,0.0637423322139464
dense,0.28971966870565197,0.6491821289062487,0.409566058321238,0.6917113554186619,0.8177652207560692,0.0123763728757988,0.02445014118336505,0.4621902919775118,0.6321889759206348,0.25275606006084184,0.40351999543935246,0.24602354885353844,0.3948938987852999,0.27270558769156833,0.4285446532871462,0.09027446406164237,0.16559951971865353
